Lead_ID,Counselling,Application,Enrolled,Test_Score
L00108,Yes,No,No,
L00109,No,No,No,
L00110,Yes,Yes,Yes,80
L00111,Yes,Yes,Yes,72
L00112,No,No,No,
L00113,Yes,Yes,Yes,87
L00114,Yes,Yes,Yes,78
L00115,No,No,No,
L00116,Yes,Yes,No,67
L00117,Yes,Yes,No,66
L00118,Yes,Yes,No,79
L00119,No,No,No,
L00120,Yes,Yes,Yes,83
L00121,Yes,Yes,Yes,79
L00122,Yes,No,No,
L00123,Yes,Yes,Yes,76
L00124,Yes,Yes,Yes,70
L00125,Yes,No,No,
L00126,Yes,Yes,No,69
L00127,Yes,No,No,
L00128,No,No,No,
L00129,Yes,Yes,Yes,77
L00130,Yes,No,No,
L00131,No,No,No,
L00132,Yes,Yes,Yes,76
L00133,No,No,No,
L00134,Yes,No,No,
L00135,No,No,No,
L00136,Yes,Yes,No,60
L00137,No,No,No,
L00138,No,No,No,
L00139,Yes,Yes,No,67
L00140,Yes,Yes,Yes,75
L00141,No,No,No,
L00142,Yes,No,No,
L00143,Yes,Yes,No,63
L00144,No,No,No,
L00145,No,No,No,
L00146,Yes,Yes,No,53
L00147,Yes,No,No,
L00148,Yes,Yes,Yes,80
L00149,Yes,Yes,No,59
L00150,Yes,No,No,
L00151,Yes,No,No,
L00152,Yes,Yes,No,70
L00153,Yes,Yes,No,65
L00154,Yes,No,No,
L00155,Yes,Yes,No,65
L00156,No,No,No,
L00157,Yes,Yes,Yes,79
L00158,Yes,Yes,Yes,60
L00159,Yes,No,No,
L00160,Yes,Yes,Yes,82
L00161,Yes,Yes,No,51
L00162,Yes,Yes,Yes,70
L00163,No,No,No,
L00164,No,No,No,
L00165,Yes,Yes,Yes,82
L00166,Yes,No,No,
L00167,No,No,No,
L00168,Yes,No,No,
L00169,Yes,Yes,Yes,77
L00170,No,No,No,
L00171,Yes,Yes,No,64
L00172,No,No,No,
L00173,Yes,No,No,
L00174,Yes,Yes,Yes,82
L00175,Yes,No,No,
L00176,No,No,No,
L00177,No,No,No,
L00178,Yes,No,No,
L00179,Yes,Yes,No,56
L00180,Yes,No,No,
L00181,Yes,Yes,No,67
L00182,Yes,Yes,Yes,65
L00183,Yes,No,No,
L00184,Yes,Yes,No,55
L00185,Yes,Yes,Yes,82
L00186,Yes,Yes,Yes,71
L00187,Yes,Yes,Yes,80
L00188,No,No,No,
L00189,No,No,No,
L00190,No,No,No,
L00191,Yes,No,No,
L00192,No,No,No,
L00193,No,No,No,
L00194,Yes,Yes,Yes,77
L00195,Yes,No,No,
L00196,No,No,No,
L00197,Yes,Yes,Yes,87
L00198,No,No,No,
L00199,Yes,No,No,
L00200,No,No,No,
L00201,Yes,Yes,Yes,77
L00202,Yes,Yes,No,68
L00203,Yes,Yes,Yes,73
L00204,Yes,Yes,No,66
L00205,Yes,Yes,No,63
L00206,Yes,No,No,
L00207,Yes,No,No,
L00208,Yes,Yes,No,60
L00209,No,No,No,
L00210,Yes,Yes,No,50
L00211,Yes,Yes,No,68
L00212,Yes,Yes,No,58
L00213,No,No,No,
L00214,Yes,Yes,Yes,84
L00215,Yes,No,No,
L00216,No,No,No,
L00217,Yes,No,No,
L00218,No,No,No,
L00219,No,No,No,
L00220,Yes,No,No,
L00221,Yes,No,No,
L00222,No,No,No,
L00223,Yes,Yes,Yes,66
L00224,Yes,No,No,
L00225,Yes,No,No,
L00226,Yes,No,No,
L00227,Yes,Yes,No,68
L00228,Yes,Yes,Yes,60
L00229,Yes,Yes,No,58
L00230,Yes,No,No,
L00231,Yes,Yes,No,68
L00232,No,No,No,
L00233,Yes,No,No,
L00234,Yes,Yes,No,72
L00235,Yes,Yes,Yes,82
L00236,Yes,No,No,
L00237,Yes,Yes,Yes,71
L00238,Yes,Yes,No,59
L00239,Yes,Yes,Yes,78
L00240,No,No,No,
L00241,No,No,No,
L00242,Yes,Yes,No,58
L00243,Yes,No,No,
L00244,Yes,No,No,
L00245,Yes,Yes,Yes,75
L00246,No,No,No,
L00247,No,No,No,
L00248,No,No,No,
L00249,No,No,No,
L00250,Yes,Yes,Yes,87
L00251,No,No,No,
L00252,No,No,No,
L00253,Yes,Yes,Yes,85
L00254,Yes,Yes,Yes,76
L00255,Yes,No,No,
L00256,Yes,Yes,Yes,78
L00257,No,No,No,
L00258,No,No,No,
L00259,Yes,No,No,
L00260,Yes,Yes,No,59
L00261,Yes,Yes,No,56
L00262,Yes,Yes,Yes,77
L00263,Yes,Yes,Yes,83
L00264,No,No,No,
L00265,Yes,Yes,Yes,83
L00266,No,No,No,
L00267,Yes,Yes,Yes,83
L00268,Yes,Yes,Yes,75
L00269,No,No,No,
L00270,Yes,Yes,No,71
L00271,Yes,Yes,Yes,87
L00272,Yes,Yes,No,67
L00273,Yes,No,No,
L00274,Yes,No,No,
L00275,No,No,No,
L00276,No,No,No,
L00277,Yes,Yes,Yes,89
L00278,No,No,No,
L00279,No,No,No,
L00280,No,No,No,
L00281,No,No,No,
L00282,Yes,Yes,Yes,81
L00283,Yes,Yes,Yes,80
L00284,Yes,Yes,Yes,74
L00285,Yes,Yes,Yes,61
L00286,Yes,No,No,
L00287,No,No,No,
L00288,Yes,Yes,Yes,87
L00289,Yes,Yes,Yes,89
L00290,Yes,No,No,
L00291,Yes,Yes,Yes,76
L00292,Yes,No,No,
L00293,Yes,No,No,
L00294,No,No,No,
L00295,Yes,Yes,No,62
L00296,Yes,No,No,
L00297,No,No,No,
L00298,Yes,No,No,
L00299,Yes,No,No,
L00300,Yes,Yes,Yes,71
L00301,Yes,Yes,No,65
L00302,No,No,No,
L00303,Yes,No,No,
L00304,Yes,Yes,No,56
L00305,Yes,No,No,
L00306,Yes,No,No,
L00307,No,No,No,
L00308,Yes,No,No,
L00309,Yes,Yes,No,71
L00310,Yes,Yes,No,60
L00311,Yes,No,No,
L00312,Yes,Yes,Yes,68
L00313,Yes,Yes,Yes,65
L00314,No,No,No,
L00315,Yes,No,No,
L00316,Yes,No,No,
L00317,No,No,No,
L00318,Yes,Yes,Yes,72
L00319,No,No,No,
L00320,Yes,Yes,No,68
L00321,No,No,No,
L00322,Yes,Yes,Yes,81
L00323,Yes,Yes,Yes,65
L00324,No,No,No,
L00325,Yes,Yes,No,56
L00326,Yes,Yes,No,68
L00327,Yes,Yes,Yes,76
L00328,No,No,No,
L00329,Yes,Yes,No,64
L00330,Yes,Yes,Yes,89
L00331,Yes,Yes,Yes,79
L00332,Yes,Yes,No,69
L00333,No,No,No,
L00334,Yes,No,No,
L00335,No,No,No,
L00336,No,No,No,
L00337,Yes,No,No,
L00338,Yes,Yes,Yes,75
L00339,No,No,No,
L00340,Yes,No,No,
L00341,Yes,Yes,No,58
L00342,Yes,Yes,Yes,78
L00343,Yes,No,No,
L00344,No,No,No,
L00345,No,No,No,
L00346,No,No,No,
L00347,Yes,Yes,No,66
L00348,No,No,No,
L00349,Yes,No,No,
L00350,Yes,No,No,
L00351,Yes,No,No,
L00352,Yes,No,No,
L00353,Yes,Yes,Yes,80
L00354,Yes,Yes,No,65
L00355,Yes,Yes,No,50
L00356,Yes,No,No,
L00357,Yes,Yes,Yes,74
L00358,No,No,No,
L00359,No,No,No,
L00360,Yes,Yes,Yes,79
L00361,Yes,No,No,
L00362,Yes,No,No,
L00363,No,No,No,
L00364,No,No,No,
L00365,Yes,Yes,Yes,65
L00366,Yes,Yes,Yes,78
L00367,No,No,No,
L00368,Yes,Yes,No,66
L00369,No,No,No,
L00370,Yes,Yes,Yes,75
L00371,Yes,Yes,Yes,80
L00372,No,No,No,
L00373,Yes,Yes,No,62
L00374,Yes,Yes,Yes,69
L00375,No,No,No,
L00376,Yes,Yes,Yes,73
L00377,No,No,No,
L00378,Yes,Yes,No,62
L00379,Yes,Yes,Yes,77
L00380,Yes,Yes,No,60
L00381,Yes,Yes,Yes,66
L00382,Yes,No,No,
L00383,Yes,Yes,No,59
L00384,Yes,Yes,No,58
L00385,Yes,Yes,Yes,69
L00386,Yes,Yes,No,64
L00387,Yes,Yes,No,74
L00388,Yes,Yes,No,57
L00389,Yes,Yes,No,62
L00390,No,No,No,
L00391,Yes,Yes,No,72
L00392,Yes,Yes,Yes,71
L00393,Yes,Yes,Yes,85
L00394,Yes,Yes,Yes,78
L00395,Yes,No,No,
L00396,Yes,No,No,
L00397,No,No,No,
L00398,No,No,No,
L00399,No,No,No,
L00400,No,No,No,
L00401,No,No,No,
L00402,No,No,No,
L00403,No,No,No,
L00404,No,No,No,
L00405,Yes,Yes,No,60
L00406,No,No,No,
L00407,Yes,No,No,
L00408,No,No,No,
L00409,No,No,No,
L00410,Yes,No,No,
L00411,No,No,No,
L00412,Yes,Yes,Yes,84
L00413,Yes,Yes,Yes,74
L00414,Yes,No,No,
L00415,No,No,No,
L00416,Yes,No,No,
L00417,Yes,Yes,No,67
L00418,Yes,Yes,Yes,78
L00419,No,No,No,
L00420,Yes,No,No,
L00421,No,No,No,
L00422,Yes,Yes,Yes,65
L00423,Yes,Yes,No,73
L00424,Yes,Yes,No,69
L00425,Yes,Yes,Yes,78
L00426,No,No,No,
L00427,No,No,No,
L00428,No,No,No,
L00429,Yes,Yes,Yes,68
L00430,Yes,No,No,
L00431,Yes,No,No,
L00432,No,No,No,
L00433,Yes,Yes,No,64
L00434,Yes,Yes,No,63
L00435,Yes,No,No,
L00436,Yes,Yes,Yes,74
L00437,No,No,No,
L00438,No,No,No,
L00439,No,No,No,
L00440,Yes,No,No,
L00441,No,No,No,
L00442,No,No,No,
L00443,Yes,Yes,Yes,84
L00444,Yes,Yes,Yes,62
L00445,Yes,Yes,No,66
L00446,No,No,No,
L00447,No,No,No,
L00448,Yes,No,No,
L00449,No,No,No,
L00450,Yes,Yes,Yes,74
L00451,Yes,No,No,
L00452,Yes,Yes,No,71
L00453,Yes,No,No,
L00454,Yes,Yes,No,56
L00455,Yes,No,No,
L00456,No,No,No,
L00457,No,No,No,
L00458,Yes,Yes,Yes,86
L00459,No,No,No,
L00460,Yes,Yes,Yes,75
L00461,Yes,Yes,Yes,84
L00462,Yes,Yes,No,51
L00463,Yes,Yes,Yes,75
L00464,Yes,Yes,Yes,81
L00465,Yes,Yes,Yes,89
L00466,Yes,Yes,No,67
L00467,Yes,No,No,
L00468,No,No,No,
L00469,No,No,No,
L00470,No,No,No,
L00471,Yes,Yes,Yes,82
L00472,No,No,No,
L00473,Yes,Yes,Yes,67
L00474,Yes,Yes,No,78
L00475,Yes,Yes,No,79
L00476,Yes,Yes,Yes,79
L00477,No,No,No,
L00478,Yes,No,No,
L00479,No,No,No,
L00480,No,No,No,
L00481,Yes,Yes,Yes,63
L00482,Yes,No,No,
L00483,No,No,No,
L00484,Yes,No,No,
L00485,Yes,No,No,
L00486,Yes,No,No,
L00487,No,No,No,
L00488,No,No,No,
L00489,Yes,Yes,Yes,76
L00490,No,No,No,
L00491,Yes,Yes,Yes,80
L00492,No,No,No,
L00493,Yes,Yes,Yes,89
L00494,Yes,Yes,Yes,88
L00495,Yes,Yes,Yes,60
L00496,Yes,No,No,
L00497,No,No,No,
L00498,Yes,Yes,No,58
L00499,No,No,No,
L00500,Yes,Yes,Yes,86
L00501,Yes,No,No,
L00502,No,No,No,
L00503,No,No,No,
L00504,Yes,Yes,No,62
L00505,Yes,Yes,No,66
L00506,Yes,No,No,
L00507,Yes,No,No,
L00508,Yes,No,No,
L00509,No,No,No,
L00510,No,No,No,
L00511,Yes,Yes,No,61
L00512,Yes,No,No,
L00513,Yes,Yes,No,66
L00514,Yes,Yes,Yes,86
L00515,Yes,Yes,Yes,71
L00516,No,No,No,
L00517,Yes,Yes,No,61
L00518,No,No,No,
L00519,Yes,No,No,
L00520,Yes,No,No,
L00521,No,No,No,
L00522,No,No,No,
L00523,No,No,No,
L00524,No,No,No,
L00525,Yes,No,No,
L00526,Yes,No,No,
L00527,Yes,No,No,
L00528,Yes,Yes,Yes,71
L00529,Yes,No,No,
L00530,No,No,No,
L00531,Yes,Yes,Yes,86
L00532,No,No,No,
L00533,Yes,Yes,No,71
L00534,Yes,Yes,No,52
L00535,No,No,No,
L00536,Yes,No,No,
L00537,Yes,No,No,
L00538,Yes,No,No,
L00539,Yes,Yes,Yes,69
L00540,Yes,No,No,
L00541,Yes,Yes,No,67
L00542,No,No,No,
L00543,Yes,No,No,
L00544,No,No,No,
L00545,No,No,No,
L00546,Yes,Yes,Yes,87
L00547,No,No,No,
L00548,No,No,No,
L00549,Yes,Yes,Yes,67
L00550,No,No,No,
L00551,No,No,No,
L00552,Yes,Yes,Yes,88
L00553,Yes,No,No,
L00554,Yes,No,No,
L00555,No,No,No,
L00556,Yes,Yes,No,73
L00557,Yes,No,No,
L00558,Yes,No,No,
L00559,No,No,No,
L00560,Yes,No,No,
L00561,Yes,Yes,No,63
L00562,Yes,No,No,
L00563,Yes,No,No,
L00564,Yes,No,No,
L00565,Yes,No,No,
L00566,Yes,Yes,Yes,76
L00567,Yes,No,No,
L00568,Yes,Yes,Yes,68
L00569,No,No,No,
L00570,Yes,Yes,Yes,78
L00571,Yes,No,No,
L00572,Yes,No,No,
L00573,Yes,Yes,Yes,75
L00574,Yes,Yes,No,58
L00575,No,No,No,
L00576,Yes,Yes,No,62
L00577,Yes,Yes,Yes,81
L00578,No,No,No,
L00579,Yes,Yes,No,70
L00580,No,No,No,
L00581,No,No,No,
L00582,Yes,Yes,No,69
L00583,No,No,No,
L00584,Yes,Yes,Yes,65
L00585,Yes,No,No,
L00586,Yes,Yes,Yes,84
L00587,No,No,No,
L00588,Yes,Yes,No,79
L00589,Yes,Yes,Yes,86
L00590,Yes,Yes,No,60
L00591,Yes,No,No,
L00592,Yes,No,No,
L00593,Yes,No,No,
L00594,Yes,No,No,
L00595,No,No,No,
L00596,Yes,No,No,
L00597,Yes,No,No,
L00598,Yes,No,No,
L00599,Yes,Yes,Yes,77
L00600,Yes,Yes,No,74
L00601,Yes,Yes,No,50
L00602,Yes,Yes,No,60
L00603,No,No,No,
L00604,Yes,Yes,No,64
L00605,Yes,Yes,Yes,85
L00606,Yes,Yes,No,79
L00607,No,No,No,
L00608,Yes,No,No,
L00609,No,No,No,
L00610,Yes,Yes,Yes,76
L00611,No,No,No,
L00612,No,No,No,
L00613,No,No,No,
L00614,Yes,No,No,
L00615,No,No,No,
L00616,Yes,Yes,Yes,76
L00617,Yes,Yes,Yes,66
L00618,Yes,Yes,Yes,85
L00619,Yes,Yes,Yes,79
L00620,Yes,Yes,Yes,83
L00621,Yes,Yes,No,59
L00622,Yes,Yes,No,66
L00623,Yes,Yes,Yes,74
L00624,No,No,No,
L00625,No,No,No,
L00626,Yes,No,No,
L00627,No,No,No,
L00628,No,No,No,
L00629,Yes,Yes,No,73
L00630,Yes,No,No,
L00631,Yes,Yes,No,66
L00632,Yes,No,No,
L00633,Yes,Yes,Yes,82
L00634,No,No,No,
L00635,Yes,No,No,
L00636,Yes,Yes,Yes,82
L00637,Yes,No,No,
L00638,Yes,No,No,
L00639,Yes,Yes,Yes,89
L00640,Yes,No,No,
L00641,Yes,Yes,Yes,72
L00642,No,No,No,
L00643,Yes,Yes,Yes,88
L00644,Yes,No,No,
L00645,Yes,No,No,
L00646,Yes,No,No,
L00647,No,No,No,
L00648,Yes,Yes,No,69
L00649,Yes,No,No,
L00650,No,No,No,
L00651,No,No,No,
L00652,No,No,No,
L00653,Yes,Yes,Yes,82
L00654,No,No,No,
L00655,Yes,Yes,Yes,82
L00656,Yes,Yes,No,64
L00657,Yes,No,No,
L00658,Yes,Yes,No,67
L00659,Yes,Yes,No,76
L00660,Yes,Yes,Yes,85
L00661,Yes,No,No,
L00662,Yes,No,No,
L00663,Yes,Yes,Yes,76
L00664,No,No,No,
L00665,Yes,Yes,No,62
L00666,Yes,No,No,
L00667,Yes,No,No,
L00668,Yes,Yes,Yes,75
L00669,Yes,Yes,Yes,80
L00670,Yes,No,No,
L00671,No,No,No,
L00672,No,No,No,
L00673,No,No,No,
L00674,Yes,Yes,Yes,81
L00675,No,No,No,
L00676,No,No,No,
L00677,Yes,No,No,
L00678,Yes,Yes,Yes,68
L00679,Yes,No,No,
L00680,Yes,Yes,No,59
L00681,Yes,Yes,Yes,75
L00682,Yes,Yes,Yes,87
L00683,No,No,No,
L00684,No,No,No,
L00685,Yes,No,No,
L00686,Yes,No,No,
L00687,Yes,No,No,
L00688,Yes,Yes,No,64
L00689,Yes,No,No,
L00690,No,No,No,
L00691,Yes,No,No,
L00692,Yes,No,No,
L00693,No,No,No,
L00694,Yes,Yes,Yes,84
L00695,No,No,No,
L00696,Yes,Yes,Yes,77
L00697,No,No,No,
L00698,No,No,No,
L00699,Yes,Yes,Yes,75
L00700,No,No,No,
L00701,Yes,Yes,Yes,78
L00702,Yes,Yes,Yes,70
L00703,Yes,Yes,No,58
L00704,Yes,No,No,
L00705,No,No,No,
L00706,Yes,Yes,Yes,79
L00707,Yes,No,No,
L00708,Yes,Yes,Yes,76
L00709,Yes,No,No,
L00710,No,No,No,
L00711,No,No,No,
L00712,Yes,Yes,Yes,67
L00713,Yes,No,No,
L00714,Yes,Yes,No,66
L00715,Yes,Yes,No,57
L00716,No,No,No,
L00717,Yes,Yes,No,60
L00718,Yes,No,No,
L00719,Yes,No,No,
L00720,No,No,No,
L00721,Yes,No,No,
L00722,No,No,No,
L00723,Yes,Yes,Yes,75
L00724,Yes,No,No,
L00725,Yes,Yes,No,77
L00726,Yes,Yes,No,72
L00727,No,No,No,
L00728,No,No,No,
L00729,Yes,No,No,
L00730,Yes,Yes,Yes,76
L00731,Yes,Yes,Yes,84
L00732,No,No,No,
L00733,Yes,Yes,Yes,70
L00734,Yes,Yes,No,70
L00735,Yes,No,No,
L00736,Yes,No,No,
L00737,No,No,No,
L00738,No,No,No,
L00739,Yes,No,No,
L00740,Yes,No,No,
L00741,No,No,No,
L00742,No,No,No,
L00743,No,No,No,
L00744,Yes,No,No,
L00745,Yes,No,No,
L00746,Yes,No,No,
L00747,Yes,No,No,
L00748,Yes,Yes,No,77
L00749,Yes,Yes,Yes,84
L00750,Yes,No,No,
L00751,No,No,No,
L00752,Yes,No,No,
L00753,Yes,No,No,
L00754,No,No,No,
L00755,Yes,No,No,
L00756,Yes,Yes,No,63
L00757,No,No,No,
L00758,Yes,Yes,No,63
L00759,Yes,No,No,
L00760,Yes,Yes,No,60
L00761,No,No,No,
L00762,Yes,Yes,No,71
L00763,Yes,No,No,
L00764,Yes,Yes,Yes,79
L00765,No,No,No,
L00766,Yes,Yes,Yes,78
L00767,No,No,No,
L00768,Yes,No,No,
L00769,No,No,No,
L00770,No,No,No,
L00771,Yes,No,No,
L00772,No,No,No,
L00773,Yes,No,No,
L00774,No,No,No,
L00775,Yes,No,No,
L00776,Yes,Yes,Yes,74
L00777,No,No,No,
L00778,Yes,Yes,Yes,65
L00779,Yes,Yes,Yes,79
L00780,Yes,Yes,Yes,70
L00781,Yes,No,No,
L00782,Yes,No,No,
L00783,Yes,No,No,
L00784,Yes,Yes,Yes,79
L00785,No,No,No,
L00786,Yes,Yes,No,65
L00787,No,No,No,
L00788,Yes,No,No,
L00789,Yes,No,No,
L00790,No,No,No,
L00791,Yes,Yes,Yes,78
L00792,No,No,No,
L00793,Yes,No,No,
L00794,No,No,No,
L00795,No,No,No,
L00796,Yes,Yes,Yes,76
L00797,Yes,Yes,No,55
L00798,Yes,Yes,No,70
L00799,No,No,No,
L00800,Yes,No,No,
L00801,Yes,Yes,No,55
L00802,Yes,Yes,Yes,80
L00803,Yes,Yes,No,62
L00804,Yes,Yes,No,67
L00805,No,No,No,
L00806,No,No,No,
L00807,Yes,No,No,
L00808,Yes,No,No,
L00809,Yes,Yes,No,71
L00810,Yes,Yes,Yes,79
L00811,Yes,No,No,
L00812,Yes,No,No,
L00813,Yes,No,No,
L00814,Yes,Yes,No,78
L00815,No,No,No,
L00816,Yes,No,No,
L00817,Yes,Yes,Yes,89
L00818,Yes,Yes,Yes,78
L00819,No,No,No,
L00820,Yes,No,No,
L00821,Yes,Yes,No,60
L00822,Yes,Yes,Yes,70
L00823,Yes,No,No,
L00824,Yes,No,No,
L00825,Yes,Yes,Yes,88
L00826,Yes,No,No,
L00827,No,No,No,
L00828,Yes,No,No,
L00829,Yes,No,No,
L00830,Yes,Yes,No,62
L00831,No,No,No,
L00832,No,No,No,
L00833,No,No,No,
L00834,Yes,Yes,No,59
L00835,No,No,No,
L00836,No,No,No,
L00837,Yes,Yes,Yes,66
L00838,Yes,Yes,Yes,84
L00839,Yes,Yes,No,69
L00840,No,No,No,
L00841,Yes,Yes,Yes,86
L00842,Yes,Yes,No,62
L00843,Yes,Yes,No,67
L00844,Yes,No,No,
L00845,Yes,No,No,
L00846,Yes,Yes,Yes,65
L00847,Yes,Yes,No,64
L00848,Yes,Yes,No,64
L00849,Yes,Yes,Yes,70
L00850,No,No,No,
L00851,Yes,Yes,Yes,76
L00852,No,No,No,
L00853,No,No,No,
L00854,No,No,No,
L00855,No,No,No,
L00856,No,No,No,
L00857,No,No,No,
L00858,No,No,No,
L00859,No,No,No,
L00860,No,No,No,
L00861,No,No,No,
L00862,Yes,No,No,
L00863,Yes,Yes,No,66
L00864,Yes,Yes,Yes,76
L00865,No,No,No,
L00866,Yes,Yes,Yes,79
L00867,Yes,Yes,Yes,65
L00868,Yes,Yes,No,56
L00869,Yes,Yes,Yes,77
L00870,Yes,Yes,No,51
L00871,Yes,Yes,Yes,70
L00872,Yes,Yes,No,64
L00873,No,No,No,
L00874,Yes,Yes,No,63
L00875,Yes,Yes,Yes,78
L00876,No,No,No,
L00877,No,No,No,
L00878,Yes,Yes,Yes,69
L00879,Yes,No,No,
L00880,No,No,No,
L00881,Yes,No,No,
L00882,Yes,Yes,Yes,78
L00883,Yes,Yes,Yes,75
L00884,Yes,Yes,Yes,72
L00885,No,No,No,
L00886,Yes,Yes,No,62
L00887,Yes,No,No,
L00888,Yes,No,No,
L00889,Yes,No,No,
L00890,Yes,Yes,Yes,67
L00891,Yes,No,No,
L00892,Yes,No,No,
L00893,Yes,Yes,No,70
L00894,No,No,No,
L00895,No,No,No,
L00896,No,No,No,
L00897,Yes,Yes,No,72
L00898,Yes,No,No,
L00899,No,No,No,
L00900,No,No,No,
L00901,Yes,No,No,
L00902,Yes,Yes,No,79
L00903,No,No,No,
L00904,No,No,No,
L00905,Yes,Yes,No,74
L00906,Yes,No,No,
L00907,Yes,No,No,
L00908,Yes,Yes,Yes,73
L00909,No,No,No,
L00910,No,No,No,
L00911,Yes,Yes,Yes,70
L00912,No,No,No,
L00913,No,No,No,
L00914,No,No,No,
L00915,No,No,No,
L00916,Yes,No,No,
L00917,Yes,Yes,Yes,84
L00918,No,No,No,
L00919,Yes,Yes,Yes,67
L00920,No,No,No,
L00921,Yes,Yes,Yes,62
L00922,No,No,No,
L00923,No,No,No,
L00924,Yes,No,No,
L00925,Yes,Yes,Yes,71
L00926,Yes,Yes,No,59
L00927,Yes,Yes,Yes,63
L00928,No,No,No,
L00929,Yes,Yes,No,61
L00930,Yes,Yes,No,73
L00931,Yes,No,No,
L00932,Yes,No,No,
L00933,No,No,No,
L00934,Yes,No,No,
L00935,No,No,No,
L00936,Yes,No,No,
L00937,No,No,No,
L00938,Yes,No,No,
L00939,No,No,No,
L00940,No,No,No,
L00941,Yes,No,No,
L00942,Yes,Yes,No,67
L00943,Yes,No,No,
L00944,Yes,Yes,Yes,70
L00945,Yes,Yes,No,58
L00946,Yes,No,No,
L00947,Yes,Yes,Yes,68
L00948,No,No,No,
L00949,Yes,Yes,Yes,77
L00950,No,No,No,
L00951,Yes,No,No,
L00952,No,No,No,
L00953,Yes,Yes,No,67
L00954,No,No,No,
L00955,Yes,Yes,Yes,79
L00956,Yes,No,No,
L00957,Yes,No,No,
L00958,No,No,No,
L00959,No,No,No,
L00960,Yes,Yes,Yes,82
L00961,Yes,Yes,Yes,66
L00962,Yes,No,No,
L00963,No,No,No,
L00964,Yes,No,No,
L00965,No,No,No,
L00966,Yes,Yes,No,69
L00967,Yes,Yes,Yes,80
L00968,No,No,No,
L00969,No,No,No,
L00970,Yes,Yes,No,60
L00971,Yes,Yes,Yes,66
L00972,Yes,Yes,Yes,84
L00973,Yes,No,No,
L00974,Yes,No,No,
L00975,Yes,No,No,
L00976,Yes,Yes,No,71
L00977,No,No,No,
L00978,Yes,Yes,No,55
L00979,Yes,Yes,Yes,75
L00980,No,No,No,
L00981,No,No,No,
L00982,Yes,Yes,Yes,88
L00983,Yes,Yes,Yes,77
L00984,Yes,Yes,Yes,71
L00985,No,No,No,
L00986,Yes,Yes,Yes,79
L00987,Yes,Yes,Yes,73
L00988,Yes,Yes,Yes,84
L00989,No,No,No,
L00990,Yes,Yes,No,69
