Lead_ID,Lead_Source,City,Course_Interest,Date
L00150,LinkedIn,Delhi,AI/ML,30-03-2025
L00151,LinkedIn,Chennai,Data Science,30-04-2025
L00152,Website,Pune,Data Science,28-04-2025
L00153,LinkedIn,Delhi,Data Science,21-01-2025
L00154,Campus Drive,Hyderabad,Data Analytics,21-01-2025
L00155,Instagram,Bangalore,Data Science,26-01-2025
L00156,Campus Drive,Pune,Data Analytics,03-02-2025
L00157,LinkedIn,Hyderabad,Data Analytics,20-02-2025
L00158,Campus Drive,Bangalore,Data Science,04-03-2025
L00159,Instagram,Chennai,Data Science,18-02-2025
L00160,LinkedIn,Bangalore,Data Analytics,01-01-2025
L00161,Campus Drive,Delhi,Data Science,18-02-2025
L00162,Instagram,Hyderabad,Data Analytics,24-04-2025
L00163,Website,Chennai,Data Science,08-01-2025
L00164,Campus Drive,Pune,AI/ML,24-03-2025
L00165,LinkedIn,Chennai,AI/ML,07-01-2025
L00166,Instagram,Mumbai,AI/ML,21-04-2025
L00167,LinkedIn,Pune,Data Analytics,06-04-2025
L00168,Website,Delhi,Data Analytics,16-01-2025
L00169,Instagram,Pune,Data Analytics,15-03-2025
L00170,Campus Drive,Mumbai,AI/ML,02-01-2025
L00171,Website,Hyderabad,AI/ML,02-01-2025
L00172,LinkedIn,Delhi,Data Science,08-04-2025
L00173,Instagram,Pune,AI/ML,18-04-2025
L00174,LinkedIn,Delhi,Data Analytics,06-04-2025
L00175,Website,Bangalore,Data Analytics,14-03-2025
L00176,Campus Drive,Pune,Data Science,19-04-2025
L00177,Website,Delhi,AI/ML,26-03-2025
L00178,LinkedIn,Pune,Data Science,06-02-2025
L00179,Instagram,Pune,AI/ML,26-03-2025
L00180,Website,Bangalore,Data Science,12-03-2025
L00181,LinkedIn,Delhi,AI/ML,15-02-2025
L00182,Instagram,Hyderabad,AI/ML,29-01-2025
L00183,Website,Hyderabad,AI/ML,08-04-2025
L00184,Instagram,Bangalore,AI/ML,05-02-2025
L00185,LinkedIn,Mumbai,Data Analytics,08-04-2025
L00186,Website,Bangalore,Data Science,12-02-2025
L00187,Website,Chennai,Data Analytics,04-04-2025
L00188,Campus Drive,Mumbai,Data Science,15-03-2025
L00189,LinkedIn,Chennai,AI/ML,21-03-2025
L00190,Website,Mumbai,Data Science,28-03-2025
L00191,Website,Bangalore,AI/ML,30-03-2025
L00192,Instagram,Pune,Data Analytics,01-02-2025
L00193,Campus Drive,Pune,Data Science,27-03-2025
L00194,Instagram,Mumbai,Data Analytics,09-01-2025
L00195,LinkedIn,Delhi,Data Analytics,09-04-2025
L00196,Instagram,Hyderabad,Data Science,08-04-2025
L00197,LinkedIn,Pune,Data Analytics,28-03-2025
L00198,Website,Mumbai,AI/ML,02-02-2025
L00199,Website,Delhi,AI/ML,24-02-2025
L00200,Instagram,Mumbai,Data Science,18-01-2025
L00201,Website,Delhi,Data Science,03-03-2025
L00202,Instagram,Bangalore,AI/ML,30-01-2025
L00203,Instagram,Mumbai,AI/ML,30-04-2025
L00204,Instagram,Mumbai,AI/ML,20-03-2025
L00205,Campus Drive,Mumbai,Data Science,11-04-2025
L00206,Website,Delhi,Data Science,08-04-2025
L00207,Instagram,Chennai,Data Science,04-03-2025
L00208,Instagram,Hyderabad,AI/ML,26-02-2025
L00209,Website,Delhi,Data Analytics,28-03-2025
L00210,Campus Drive,Pune,Data Science,02-03-2025
L00211,Instagram,Hyderabad,AI/ML,13-01-2025
L00212,Campus Drive,Hyderabad,Data Science,25-02-2025
L00213,Campus Drive,Pune,Data Science,20-03-2025
L00214,LinkedIn,Hyderabad,AI/ML,29-03-2025
L00215,LinkedIn,Mumbai,Data Science,28-01-2025
L00216,LinkedIn,Delhi,Data Science,25-04-2025
L00217,Instagram,Pune,Data Analytics,18-03-2025
L00218,Website,Chennai,Data Science,28-02-2025
L00219,Website,Hyderabad,Data Science,30-03-2025
L00220,Instagram,Hyderabad,AI/ML,01-03-2025
L00221,Campus Drive,Hyderabad,Data Analytics,23-01-2025
L00222,Instagram,Pune,AI/ML,19-03-2025
L00223,Instagram,Pune,Data Science,15-02-2025
L00224,Website,Mumbai,Data Analytics,22-04-2025
L00225,LinkedIn,Pune,Data Analytics,28-01-2025
L00226,Instagram,Chennai,AI/ML,09-03-2025
L00227,Instagram,Pune,AI/ML,06-03-2025
L00228,Campus Drive,Mumbai,Data Analytics,09-04-2025
L00229,Instagram,Hyderabad,Data Analytics,27-02-2025
L00230,LinkedIn,Mumbai,Data Science,08-02-2025
L00231,Instagram,Pune,Data Analytics,19-03-2025
L00232,Instagram,Chennai,Data Science,21-01-2025
L00233,Campus Drive,Chennai,AI/ML,19-01-2025
L00234,LinkedIn,Chennai,AI/ML,15-01-2025
L00235,LinkedIn,Chennai,Data Analytics,13-03-2025
L00236,Website,Delhi,AI/ML,26-04-2025
L00237,Instagram,Chennai,AI/ML,03-01-2025
L00238,Instagram,Chennai,Data Science,07-02-2025
L00239,Instagram,Hyderabad,Data Science,22-03-2025
L00240,Campus Drive,Delhi,Data Analytics,14-02-2025
L00241,Campus Drive,Bangalore,Data Analytics,27-03-2025
L00242,Instagram,Chennai,Data Science,15-02-2025
L00243,Instagram,Pune,Data Science,02-01-2025
L00244,Instagram,Mumbai,AI/ML,22-01-2025
L00245,Instagram,Pune,AI/ML,15-01-2025
L00246,Instagram,Hyderabad,AI/ML,09-01-2025
L00247,Instagram,Bangalore,AI/ML,17-03-2025
L00248,Website,Delhi,AI/ML,21-04-2025
L00249,Instagram,Chennai,AI/ML,27-02-2025
L00250,LinkedIn,Bangalore,AI/ML,14-01-2025
L00251,LinkedIn,Hyderabad,AI/ML,19-01-2025
L00252,Instagram,Mumbai,Data Analytics,22-02-2025
L00253,LinkedIn,Pune,AI/ML,18-01-2025
L00254,Website,Pune,Data Analytics,04-02-2025
L00255,LinkedIn,Delhi,Data Science,31-01-2025
L00256,Website,Chennai,AI/ML,20-01-2025
L00257,LinkedIn,Mumbai,AI/ML,10-04-2025
L00258,Campus Drive,Delhi,Data Analytics,11-02-2025
L00259,Instagram,Mumbai,Data Analytics,19-04-2025
L00260,Instagram,Pune,AI/ML,28-03-2025
L00261,Campus Drive,Mumbai,Data Science,03-03-2025
L00262,LinkedIn,Pune,Data Analytics,11-03-2025
L00263,Website,Bangalore,Data Science,23-01-2025
L00264,Instagram,Mumbai,AI/ML,17-03-2025
L00265,LinkedIn,Chennai,Data Analytics,17-03-2025
L00266,Website,Mumbai,Data Science,18-02-2025
L00267,Website,Chennai,Data Analytics,20-03-2025
L00268,Instagram,Mumbai,AI/ML,29-01-2025
L00269,Instagram,Bangalore,Data Analytics,19-03-2025
L00270,LinkedIn,Pune,Data Analytics,12-02-2025
L00271,LinkedIn,Hyderabad,AI/ML,23-01-2025
L00272,Instagram,Pune,AI/ML,29-04-2025
L00273,LinkedIn,Mumbai,Data Analytics,27-03-2025
L00274,Campus Drive,Hyderabad,AI/ML,30-01-2025
L00275,Campus Drive,Bangalore,Data Analytics,13-03-2025
L00276,Campus Drive,Bangalore,Data Analytics,31-01-2025
L00277,LinkedIn,Mumbai,Data Science,31-03-2025
L00278,Campus Drive,Bangalore,Data Science,17-02-2025
L00279,Instagram,Bangalore,Data Analytics,09-03-2025
L00280,Website,Chennai,AI/ML,19-01-2025
L00281,Website,Bangalore,Data Analytics,24-03-2025
L00282,LinkedIn,Delhi,AI/ML,12-03-2025
L00283,LinkedIn,Hyderabad,Data Science,30-03-2025
L00284,Instagram,Hyderabad,AI/ML,19-03-2025
L00285,Campus Drive,Pune,AI/ML,28-01-2025
L00286,LinkedIn,Chennai,Data Analytics,12-02-2025
L00287,Website,Hyderabad,Data Analytics,19-04-2025
L00288,LinkedIn,Mumbai,Data Analytics,25-01-2025
L00289,LinkedIn,Pune,AI/ML,09-03-2025
L00290,LinkedIn,Pune,AI/ML,18-01-2025
L00291,Website,Delhi,Data Analytics,07-01-2025
L00292,Instagram,Bangalore,AI/ML,02-03-2025
L00293,LinkedIn,Delhi,Data Science,13-02-2025
L00294,Campus Drive,Delhi,AI/ML,21-01-2025
L00295,Instagram,Bangalore,Data Analytics,10-01-2025
L00296,LinkedIn,Pune,Data Analytics,06-02-2025
L00297,Campus Drive,Pune,Data Science,18-01-2025
L00298,Instagram,Pune,Data Science,16-02-2025
L00299,LinkedIn,Mumbai,Data Science,22-01-2025
L00300,Website,Hyderabad,AI/ML,14-03-2025
L00301,Instagram,Mumbai,AI/ML,08-03-2025
L00302,Campus Drive,Chennai,AI/ML,19-01-2025
L00303,Instagram,Mumbai,AI/ML,05-02-2025
L00304,Instagram,Bangalore,Data Analytics,11-03-2025
L00305,Website,Chennai,Data Analytics,01-02-2025
L00306,Website,Delhi,Data Science,27-02-2025
L00307,Campus Drive,Pune,AI/ML,22-03-2025
L00308,LinkedIn,Chennai,AI/ML,13-02-2025
L00309,Website,Bangalore,Data Analytics,21-03-2025
L00310,Instagram,Chennai,Data Analytics,16-01-2025
L00311,Campus Drive,Chennai,Data Science,30-01-2025
L00312,Instagram,Bangalore,Data Science,16-01-2025
L00313,Instagram,Pune,Data Science,07-03-2025
L00314,Instagram,Chennai,AI/ML,23-01-2025
L00315,Campus Drive,Delhi,Data Analytics,22-01-2025
L00316,Campus Drive,Pune,Data Analytics,18-02-2025
L00317,LinkedIn,Pune,AI/ML,19-03-2025
L00318,Website,Chennai,AI/ML,14-03-2025
L00319,Instagram,Chennai,AI/ML,10-01-2025
L00320,Instagram,Delhi,Data Science,05-02-2025
L00321,Instagram,Hyderabad,Data Analytics,10-02-2025
L00322,Website,Pune,Data Science,08-04-2025
L00323,Campus Drive,Chennai,Data Science,31-01-2025
L00324,Instagram,Hyderabad,AI/ML,02-01-2025
L00325,Instagram,Hyderabad,Data Science,24-03-2025
L00326,Instagram,Bangalore,Data Analytics,24-03-2025
L00327,Instagram,Chennai,Data Science,04-01-2025
L00328,Instagram,Chennai,AI/ML,13-04-2025
L00329,Website,Delhi,Data Science,09-04-2025
L00330,LinkedIn,Mumbai,AI/ML,24-02-2025
L00331,LinkedIn,Pune,Data Analytics,05-01-2025
L00332,Instagram,Mumbai,Data Science,01-02-2025
L00333,LinkedIn,Mumbai,AI/ML,09-03-2025
L00334,Instagram,Pune,Data Analytics,15-04-2025
L00335,LinkedIn,Pune,Data Science,23-04-2025
L00336,Website,Bangalore,Data Science,01-01-2025
L00337,Instagram,Bangalore,AI/ML,24-04-2025
L00338,LinkedIn,Hyderabad,Data Analytics,03-02-2025
L00339,Instagram,Mumbai,Data Analytics,10-03-2025
L00340,LinkedIn,Mumbai,Data Science,13-03-2025
L00341,Instagram,Hyderabad,Data Science,05-01-2025
L00342,Instagram,Hyderabad,Data Analytics,25-04-2025
L00343,Website,Pune,AI/ML,21-04-2025
L00344,Instagram,Bangalore,Data Science,07-03-2025
L00345,Instagram,Chennai,AI/ML,09-03-2025
L00346,Website,Pune,Data Analytics,03-03-2025
L00347,Instagram,Chennai,Data Analytics,14-04-2025
L00348,Instagram,Pune,Data Analytics,17-01-2025
L00349,Instagram,Bangalore,Data Analytics,19-03-2025
L00350,Campus Drive,Delhi,Data Science,13-02-2025
L00351,Website,Hyderabad,AI/ML,01-02-2025
L00352,Instagram,Pune,Data Science,13-01-2025
L00353,Website,Delhi,Data Analytics,23-01-2025
L00354,Instagram,Chennai,Data Science,13-01-2025
L00355,Campus Drive,Hyderabad,Data Analytics,29-03-2025
L00356,LinkedIn,Delhi,Data Analytics,23-01-2025
L00357,Website,Mumbai,Data Analytics,08-01-2025
L00358,Campus Drive,Chennai,Data Analytics,06-04-2025
L00359,Website,Bangalore,AI/ML,21-01-2025
L00360,Website,Hyderabad,AI/ML,10-02-2025
L00361,Website,Delhi,Data Science,19-03-2025
L00362,LinkedIn,Hyderabad,Data Analytics,05-04-2025
L00363,Campus Drive,Chennai,Data Analytics,04-01-2025
L00364,Campus Drive,Hyderabad,AI/ML,06-02-2025
L00365,Instagram,Mumbai,AI/ML,07-02-2025
L00366,LinkedIn,Chennai,Data Science,14-01-2025
L00367,LinkedIn,Delhi,AI/ML,30-01-2025
L00368,Instagram,Chennai,Data Analytics,18-02-2025
L00369,Website,Delhi,Data Science,31-01-2025
L00370,LinkedIn,Mumbai,AI/ML,24-02-2025
L00371,LinkedIn,Hyderabad,Data Analytics,16-03-2025
L00372,Website,Hyderabad,Data Analytics,11-03-2025
L00373,Website,Bangalore,AI/ML,16-01-2025
L00374,Instagram,Bangalore,AI/ML,28-04-2025
L00375,Instagram,Hyderabad,AI/ML,26-01-2025
L00376,Website,Mumbai,Data Science,21-01-2025
L00377,Instagram,Pune,Data Analytics,01-01-2025
L00378,Instagram,Bangalore,AI/ML,15-02-2025
L00379,LinkedIn,Mumbai,AI/ML,24-01-2025
L00380,Instagram,Delhi,AI/ML,21-03-2025
L00381,Instagram,Mumbai,Data Analytics,25-03-2025
L00382,LinkedIn,Delhi,Data Analytics,15-01-2025
L00383,Campus Drive,Mumbai,AI/ML,26-01-2025
L00384,Campus Drive,Mumbai,Data Analytics,28-03-2025
L00385,Campus Drive,Chennai,Data Science,02-03-2025
L00386,Instagram,Delhi,Data Analytics,02-02-2025
L00387,LinkedIn,Delhi,Data Science,17-01-2025
L00388,Instagram,Pune,AI/ML,22-04-2025
L00389,Website,Delhi,Data Analytics,09-02-2025
L00390,Website,Mumbai,AI/ML,09-03-2025
L00391,LinkedIn,Mumbai,Data Analytics,27-03-2025
L00392,Campus Drive,Pune,Data Science,04-03-2025
L00393,LinkedIn,Chennai,Data Analytics,06-01-2025
L00394,Website,Hyderabad,Data Analytics,30-04-2025
L00395,LinkedIn,Mumbai,Data Analytics,09-01-2025
L00396,LinkedIn,Pune,AI/ML,12-01-2025
L00397,LinkedIn,Hyderabad,AI/ML,17-04-2025
L00398,Instagram,Bangalore,Data Analytics,08-01-2025
L00399,Website,Hyderabad,Data Science,04-01-2025
L00400,Campus Drive,Hyderabad,Data Science,12-01-2025
L00401,Instagram,Bangalore,Data Analytics,19-04-2025
L00402,Website,Mumbai,AI/ML,04-01-2025
L00403,Campus Drive,Hyderabad,Data Analytics,27-01-2025
L00404,Instagram,Chennai,Data Science,20-01-2025
L00405,Instagram,Mumbai,Data Analytics,02-03-2025
L00406,Website,Chennai,Data Science,11-01-2025
L00407,Website,Bangalore,Data Science,29-03-2025
L00408,Instagram,Pune,Data Science,28-01-2025
L00409,Instagram,Mumbai,Data Analytics,21-02-2025
L00410,Website,Pune,AI/ML,16-03-2025
L00411,LinkedIn,Mumbai,Data Analytics,04-04-2025
L00412,Website,Chennai,Data Science,16-01-2025
L00413,Instagram,Bangalore,Data Science,13-03-2025
L00414,LinkedIn,Delhi,Data Analytics,04-03-2025
L00415,LinkedIn,Chennai,AI/ML,10-04-2025
L00416,Website,Hyderabad,Data Science,20-03-2025
L00417,Website,Hyderabad,Data Analytics,08-04-2025
L00418,Instagram,Hyderabad,AI/ML,19-03-2025
L00419,Campus Drive,Delhi,Data Science,24-03-2025
L00420,Website,Hyderabad,Data Science,28-01-2025
L00421,Website,Hyderabad,Data Analytics,19-01-2025
L00422,Instagram,Delhi,Data Science,02-03-2025
L00423,LinkedIn,Bangalore,AI/ML,16-03-2025
L00424,Instagram,Chennai,AI/ML,15-04-2025
L00425,Instagram,Mumbai,AI/ML,23-04-2025
L00426,Campus Drive,Mumbai,Data Science,17-02-2025
L00427,LinkedIn,Bangalore,Data Science,14-03-2025
L00428,Website,Bangalore,AI/ML,29-03-2025
L00429,Instagram,Chennai,AI/ML,17-03-2025
L00430,LinkedIn,Mumbai,Data Analytics,07-02-2025
L00431,Instagram,Chennai,AI/ML,17-03-2025
L00432,Campus Drive,Pune,Data Analytics,24-02-2025
L00433,Instagram,Delhi,AI/ML,27-03-2025
L00434,Campus Drive,Hyderabad,AI/ML,06-03-2025
L00435,Website,Mumbai,Data Science,13-01-2025
L00436,Instagram,Hyderabad,Data Science,31-03-2025
L00437,Instagram,Delhi,Data Science,09-01-2025
L00438,Instagram,Bangalore,Data Science,20-02-2025
L00439,LinkedIn,Mumbai,Data Analytics,20-04-2025
L00440,Instagram,Delhi,Data Science,01-01-2025
L00441,Campus Drive,Mumbai,Data Science,19-04-2025
L00442,Instagram,Mumbai,AI/ML,13-04-2025
L00443,Website,Bangalore,Data Analytics,15-02-2025
L00444,Campus Drive,Pune,AI/ML,09-03-2025
L00445,LinkedIn,Chennai,Data Science,07-04-2025
L00446,Website,Bangalore,AI/ML,07-03-2025
L00447,LinkedIn,Delhi,AI/ML,20-02-2025
L00448,Website,Chennai,Data Analytics,25-03-2025
L00449,LinkedIn,Hyderabad,AI/ML,09-02-2025
L00450,Website,Chennai,Data Analytics,17-04-2025
L00451,Website,Bangalore,Data Analytics,24-01-2025
L00452,Website,Pune,Data Analytics,14-02-2025
L00453,Instagram,Hyderabad,Data Analytics,28-01-2025
L00454,Instagram,Hyderabad,AI/ML,26-02-2025
L00455,Instagram,Mumbai,Data Analytics,09-03-2025
L00456,Campus Drive,Hyderabad,Data Science,15-03-2025
L00457,Website,Hyderabad,Data Analytics,05-04-2025
L00458,LinkedIn,Bangalore,AI/ML,05-03-2025
L00459,LinkedIn,Chennai,Data Science,19-04-2025
L00460,Instagram,Hyderabad,Data Analytics,16-03-2025
L00461,LinkedIn,Pune,Data Analytics,19-02-2025
L00462,Campus Drive,Mumbai,Data Science,11-02-2025
L00463,Website,Bangalore,Data Science,18-03-2025
L00464,LinkedIn,Mumbai,Data Science,18-02-2025
L00465,LinkedIn,Pune,AI/ML,01-02-2025
L00466,Instagram,Chennai,Data Analytics,13-04-2025
L00467,LinkedIn,Pune,Data Analytics,10-04-2025
L00468,Campus Drive,Delhi,Data Science,24-01-2025
L00469,Instagram,Mumbai,Data Science,17-01-2025
L00470,Campus Drive,Hyderabad,Data Science,08-04-2025
L00471,LinkedIn,Chennai,AI/ML,21-01-2025
L00472,Instagram,Delhi,AI/ML,12-01-2025
L00473,Campus Drive,Pune,AI/ML,24-02-2025
L00474,LinkedIn,Hyderabad,Data Analytics,05-03-2025
L00475,LinkedIn,Chennai,Data Analytics,16-02-2025
L00476,Instagram,Chennai,Data Science,22-03-2025
L00477,Campus Drive,Hyderabad,Data Science,13-01-2025
L00478,Instagram,Pune,AI/ML,03-04-2025
L00479,LinkedIn,Delhi,Data Science,21-03-2025
L00480,Instagram,Hyderabad,AI/ML,26-02-2025
L00481,Campus Drive,Pune,AI/ML,23-04-2025
L00482,Website,Bangalore,Data Analytics,06-02-2025
L00483,Website,Bangalore,Data Analytics,01-01-2025
L00484,Website,Bangalore,AI/ML,15-02-2025
L00485,Instagram,Hyderabad,Data Analytics,13-03-2025
L00486,Campus Drive,Pune,Data Science,02-03-2025
L00487,Website,Bangalore,Data Analytics,03-02-2025
L00488,Website,Chennai,AI/ML,07-03-2025
L00489,Website,Chennai,AI/ML,08-02-2025
L00490,Campus Drive,Mumbai,Data Analytics,22-02-2025
L00491,LinkedIn,Delhi,Data Science,13-01-2025
L00492,Instagram,Delhi,AI/ML,10-01-2025
L00493,LinkedIn,Chennai,AI/ML,14-01-2025
L00494,LinkedIn,Chennai,Data Science,28-02-2025
L00495,Campus Drive,Pune,Data Analytics,16-03-2025
L00496,LinkedIn,Pune,AI/ML,06-04-2025
L00497,LinkedIn,Bangalore,AI/ML,10-03-2025
L00498,Instagram,Chennai,Data Analytics,06-03-2025
L00499,Website,Hyderabad,Data Science,24-03-2025
L00500,LinkedIn,Chennai,Data Analytics,06-02-2025
L00501,Website,Pune,Data Analytics,23-01-2025
